City,Street,Lat,Long,Region,Partner,Bonus,Materials
Калуга,"Калужская область, г Калуга, ул Советская, 122","54,5177","36,3489",Калужская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Красноярск,"Красноярский край, г Красноярск, ул Воронова, 16","55,996132","92,921751",Красноярский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Красноярск,"Красноярский край, г Красноярск, ул Пограничников, 40","56,083376","93,017452",Красноярский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Липецк,"Липецкая область, г Липецк, ул Стаханова, 27","52,591949","39,530081",Липецкая область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, пер Водопроводный, 2","55,7939","37,6379",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, пр-кт Мира, 119","55,832","37,619",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Автозаводская, 23","55,7053","37,6283",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Гвардейская, 4","55,721387","37,424167",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Космонавта Волкова, 7","55,8156","37,5097",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Новокосинская, 17к7","55,7392","37,8539",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Свободы, 55","55,850713","37,450726",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Черкизовская Б., 22к1","55,799455","37,735737",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ш Дмитровское, 122Д корп.1","55,922294","37,546126",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ш Энтузиастов, 82","55,7658","37,7914",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Нижний Новгород,"Нижегородская область, г Нижний Новгород, ул Адмирала Макарова, 8","56,285618","43,945997",Нижегородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Нижний Новгород,"Нижегородская область, г Нижний Новгород, ул Минина, 11","56,3267","44,0219",Нижегородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Новосибирск,"Новосибирская область, г Новосибирск, ул Кирова, 113к1","55,0128","82,9533",Новосибирская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Омск,"Омская область, г Омск, ул Герцена, 312","55,0325","73,3772",Омская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Оренбург,"Оренбургская область, г Оренбург, ул Пролетарская, 247","51,7978","55,0939",Оренбургская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Пенза,"Пензенская область, г Пенза, ул Центральная, 18","53,1271","45,0186",Пензенская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Пермь,"Пермский край, г Пермь, ул Ленина, 83","58,004158","56,199225",Пермский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ростов-на-Дону,"Ростовская область, г Ростов-на-Дону, пр-кт Стачки, 207","47,1257","39,4049",Ростовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ростов-на-Дону,"Ростовская область, г Ростов-на-Дону, ул Орская, 100","47,3064","39,7836",Ростовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Рязань,"Рязанская область, г Рязань, ул Советской Армии, 6","54,613073","39,792327",Рязанская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Самара,"Самарская область, г Самара, ул Ново-Садовая, 289","53,234316","50,186152",Самарская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, пр-кт Бакунина, 5","59,93","30,3731",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, пр-кт Лиговский, 254","59,2033","30,2033",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, пр-кт Чкаловский, 15","59,9486","30,2419",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
